Stack usage report (sorted by stack size):

Stack Size  Function                                  File           
---------------------------------------------------------------------------
672         AST_genAsm_top                            PikaParser.c   
592         AST_genAsm                                PikaParser.c   
576         VM_instruction_handler_OPT                PikaVM.c       
400         VM_instruction_handler_RUN                PikaVM.c       
384         obj_runChar                               PikaObj.c      
384         builtins_input                            PikaObj.c      
384         pika_debug_set_trace                      PikaVM.c       
368         AST_parseStmt                             PikaParser.c   
336         Suger_format                              PikaParser.c   
320         builtins_chr                              PikaObj.c      
304         builtins_hex                              PikaObj.c      
304         _Parser_popLastSubStmt                    PikaParser.c   
304         VM_instruction_handler_ASS                PikaVM.c       
288         Suger_leftSlice                           PikaParser.c   
272         Lexer_matchStmtType                       PikaParser.c   
272         strsFormat                                dataStrs.c     
272         PikaVMFrame_loadArgsFromMethodArg         PikaVM.c       
272         VM_instruction_handler_OUT                PikaVM.c       
272         pika_snprintf                             PikaPlatform.c 
256         _pika_tuple_new                           PikaObj.c      
256         _pika_list_new                            PikaObj.c      
256         _pika_dict_new                            PikaObj.c      
256         _Suger_process                            PikaParser.c   
256         Suger_multiAssign                         PikaParser.c   
256         pika_sprintf                              PikaPlatform.c 
240         obj_setSysOut                             PikaObj.c      
240         Suger_selfOperator                        PikaParser.c   
240         parser_lines2Target                       PikaParser.c   
240         pikaMaker_getDependencies                 PikaCompiler.c 
240         PikaVMFrame_setSysOut                     PikaVM.c       
240         _get_n_input_with_unpack                  PikaVM.c       
240         pikaVM_runInstructUnit                    PikaVM.c       
240         pika_platform_printf                      PikaPlatform.c 
224         Cursor_popLastToken                       PikaParser.c   
224         Parser_popSubStmt                         PikaParser.c   
224         parser_line2Ast                           PikaParser.c   
208         pikaGC_markSweepOnce                      PikaObj.c      
208         builtins_list                             PikaObj.c      
208         __dir_each                                PikaObj.c      
208         Cursor_popToken                           PikaParser.c   
208         _VM_instruction_eval                      PikaVM.c       
208         _OPT_ADD                                  PikaVM.c       
192         _obj_getObjWithKeepDeepth                 PikaObj.c      
192         obj_saveMethodInfo                        PikaObj.c      
192         Cursor_getCleanStmt                       PikaParser.c   
192         Cursor_removeTokensBetween                PikaParser.c   
192         _solveEqualLevelOperator                  PikaParser.c   
192         Cursor_splitCollect                       PikaParser.c   
192         Slice_getPars                             PikaParser.c   
192         _vm_get                                   PikaVM.c       
192         pikaVM_run_ex                             PikaVM.c       
176         __class_defineMethodWithType              PikaObj.c      
176         builtins___setitem__                      PikaObj.c      
176         Lexer_getOperator                         PikaParser.c   
176         _Cursor_count                             PikaParser.c   
176         pikaCompile                               PikaCompiler.c 
176         _cache_bytecodeframe                      PikaVM.c       
176         _get_data_from_bytecode2                  PikaVM.c       
176         pikaVM_runByteCode_ex                     PikaVM.c       
160         pika_debug_find_break_point_pc            PikaObj.c      
160         Suger_multiReturn                         PikaParser.c   
160         _check_is_multi_assign                    PikaParser.c   
160         Lib_loadLibraryFileToArray                PikaCompiler.c 
160         Locals_setLReg                            PikaVM.c       
160         _vm_slice                                 PikaVM.c       
160         _vm_create_list_or_tuple                  PikaVM.c       
160         VM_instruction_handler_DCT                PikaVM.c       
160         pikaVM_runAsm                             PikaVM.c       
160         pika_platform_thread_init                 PikaPlatform.c 
144         obj_importModuleWithByteCode              PikaObj.c      
144         _defGetDefault                            PikaParser.c   
144         _parser_fixDocStringIndent                PikaParser.c   
144         byteCodeFrame_appendFromAsm               PikaParser.c   
144         pika_lines2Array                          PikaParser.c   
144         LibObj_linkFile                           PikaCompiler.c 
144         arg_toStrArg                              dataArg.c      
144         strsFormatArg                             dataArgs.c     
144         strsFormatList                            dataArgs.c     
144         _OPT_EQU                                  PikaVM.c       
144         pikaVM_runByteCode_exReturn               PikaVM.c       
128         set_disp_mode                             PikaObj.c      
128         _do_pikaScriptShell                       PikaObj.c      
128         builtins_range                            PikaObj.c      
128         pikaList_insert                           PikaObj.c      
128         _comprehension2Asm                        PikaParser.c   
128         pikafs_unpack_files                       PikaCompiler.c 
128         __foreach_handler_linkCompiledModules     PikaCompiler.c 
128         _do_pikaMaker_linkCompiledModulesFullPath  PikaCompiler.c 
128         _obj_runMethodArgWithState                PikaVM.c       
128         _OPT_SUB                                  PikaVM.c       
112         methodArg_active                          PikaObj.c      
112         _inner_do_obj_runChar                     PikaObj.c      
112         obj_runModule                             PikaObj.c      
112         obj_toStr                                 PikaObj.c      
112         pika_eventListener_registEventCallback    PikaObj.c      
112         builtins_iter                             PikaObj.c      
112         builtins_bytes                            PikaObj.c      
112         _bytes_contains                           PikaObj.c      
112         pikaList_remove                           PikaObj.c      
112         Lexer_getTokenStream                      PikaParser.c   
112         _AST_parse_comprehension                  PikaParser.c   
112         Suger_from_import_as                      PikaParser.c   
112         LibObj_staticLinkFile_New                 PikaCompiler.c 
112         strsTransfer                              dataStrs.c     
112         PikaVMFrame_getAddrOffsetOfJmpBack        PikaVM.c       
112         VM_instruction_handler_SLC                PikaVM.c       
112         VM_instruction_handler_REF                PikaVM.c       
112         _kw_push                                  PikaVM.c       
112         _proxy_setattr                            PikaVM.c       
112         pikaVM_runSingleFile                      PikaVM.c       
112         __pikaVM_runByteCodeFrameWithState        PikaVM.c       
96          obj_deinit                                PikaObj.c      
96          _obj_setArg                               PikaObj.c      
96          _pika_new_obj_with_args                   PikaObj.c      
96          _obj_getPropArg                           PikaObj.c      
96          enable_raw_mode                           PikaObj.c      
96          _obj_getObjDirect                         PikaObj.c      
96          methodArg_super                           PikaObj.c      
96          _do_message_filter                        PikaObj.c      
96          pika_runFunction1                         PikaObj.c      
96          obj_getSize                               PikaObj.c      
96          builtins_print                            PikaObj.c      
96          _isinstance                               PikaObj.c      
96          pikaDict_forEach                          PikaObj.c      
96          pikaList_set                              PikaObj.c      
96          pikaList_append                           PikaObj.c      
96          insert_label_at_line                      PikaObj.c      
96          __queue_popArg_noRmoveArg                 dataQueue.c    
96          strPathJoin                               dataString.c   
96          Lexer_setToken                            PikaParser.c   
96          TokenStream_count                         PikaParser.c   
96          _AST_parse_dict                           PikaParser.c   
96          _AST_parse_slice                          PikaParser.c   
96          Parser_removeComment                      PikaParser.c   
96          arg_strAddIndentMulti                     PikaParser.c   
96          Parser_checkIsDocstring                   PikaParser.c   
96          pika_file2Target                          PikaParser.c   
96          LibObj_staticLinkFile                     PikaCompiler.c 
96          _loadModuleDataWithName                   PikaCompiler.c 
96          __Maker_compileModuleWithInfo             PikaCompiler.c 
96          pikaMaker_linkByteocdeFile                PikaCompiler.c 
96          pikaMaker_compileModuleWithListFile       PikaCompiler.c 
96          _arg_set_hash                             dataArg.c      
96          arg_setContent                            dataArg.c      
96          strsAppend                                dataStrs.c     
96          strsReplace                               dataStrs.c     
96          _obj_getLen                               PikaVM.c       
96          _proxy_getattribute                       PikaVM.c       
96          _proxy_getattr                            PikaVM.c       
96          _kw_pos_to_default_all                    PikaVM.c       
96          _kw_to_pos_all                            PikaVM.c       
96          VM_instruction_handler_STR                PikaVM.c       
96          VM_instruction_handler_BYT                PikaVM.c       
96          __obj_shellLineHandler_debug              PikaVM.c       
96          pikaVM_runByteCode                        PikaVM.c       
96          pikaVM_runByteCodeInconstant              PikaVM.c       
96          _pikaVM_runByteCodeFrame                  PikaVM.c       
96          _pikaVM_runByteCodeFrameGlobals           PikaVM.c       
96          pika_pvsprintf                            PikaPlatform.c 
80          obj_getArg                                PikaObj.c      
80          _obj_initMetaObj                          PikaObj.c      
80          methodArg_toProp                          PikaObj.c      
80          methodArg_getTypeList                     PikaObj.c      
80          methodArg_getName                         PikaObj.c      
80          class_defineRunTimeConstructor            PikaObj.c      
